binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus deserticola,NA,NA,tree,NA,12,20,12,12,6000,27,60,14,17,6000,19.5,40,13,14.5,"Tree or mallee to 6 m. Bark tessellated throughout, pale brown. Juvenile leaves not seen. Adult leaves opposite, ovate, acute or apiculate, cordate; lamina 2-6 cm long, 1.2-2.7 cm wide, green, discolorous; lateral veins faint, at 60°–70°; intramarginal vein confluent with margin; petiole absent or up to 3 mm long. Umbels 7-flowered; peduncle terete, 5-17 mm long; pedicels 2-4 mm long. Mature buds not seen. Fruits ovoid, 12-17 mm long, 12-14 mm wide; disc broad; valves 4. Seeds not seen. Fig. 40K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ferruginea,NA,NA,tree,NA,30,80,15,18,12000,70,150,18,25,12000,50,115,16.5,21.5,"Tree to 12 m, spreading. Bark irregularly tessellated or flaky throughout, grey or grey-brown. Juvenile leaves very shortly petiolate, oblong-lanceolate, 5-8 cm long, 4-5 cm wide, with red-brown radiating hairs and short bristles. Leaves on mature trees opposite, petiolate or subsessile, oblong-ovate, obtuse and cuspidate or acute to acuminate, cordate; lamina 8-15 cm long, 3-7 cm wide, with radiating hairs and short bristles, red-brown to grey-green, often undulate, ±discolorous; lateral veins at 50°–65°; petiole up to 5 mm long. Umbels 3-7-flowered; peduncle terete to compressed, 10-15 mm long, with rust-brown. Figure 40. Eucalyptus buds and fruits, all ×1, unless otherwise stated. A–B, E. kombolgiensis (A, I.Brooker 5340, FRI; B, C.Dunlop 4633, FRI). C–D, E. gilbertensis (C, Croydon, Qld, L.Johnson & L.Pryor, FRI; D, J.Turnbull 400, FRI). E–F, E. aspera (E, W.McReaddie 1, FRI; F, R.Perry 1659, FRI). G–H, E. ferriticola (G, I.Brooker 8314, FRI; H, I.Brooker 8196, FRI). I–J, E. setosa ×0.5 (I, P.Latz 1814, FRI; J, C.Dunlop 1789, FRI). K–L, E. deserticola (I.Brooker 8213, FRI). M–N, E. ferruginea (M, T.Hartley 14608, FRI; N, C.Dunlop 4316, FRI). A, B, E, F, I–L, drawn by M.Risby. Others drawn by M.May. bristle-like glands; pedicels up to 4 mm long. Buds clavate to pyriform, 10-12 mm long, 5-10 mm wide. Fruits shortly pedicellate, ovoid, subglobular or suburceolate, 18-25 mm long, 15-18 mm wide. Seeds winged at one end, yellow-brown. Rusty. Bloodwood. Fig. 40M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus abbreviata,NA,NA,tree,NA,30,70,17,20,6000,80,160,25,30,6000,55,115,21,25,"Tree to 6 m, scraggy. Bark flaky or irregularly tessellated throughout, grey or grey-brown to yellow-brown. Juvenile leaves broadly lanceolate, 6-9 cm long, 2-3 cm wide, white stellate-hairy. Leaves on mature trees opposite, sessile or petiolate, narrowly ovate, lanceolate or oblong-lanceolate, thick; lamina 7-16 cm long, 3-8 cm wide, acute or acuminate, cordate or amplexicaul, sparsely hispid, yellow-green, concolorous; lateral veins at 50°–65°; intramarginal vein irregular, usually close to margin; petiole absent or up to 5 mm long. Umbels 3-7-flowered; peduncle thick, 15-25 mm long, bristly when young; pedicels absent or up to 3 mm long. Buds clavate, pyriform or obovoid; operculum patelliform, approx 2 mm long, 5-7 mm wide; hypanthium obconical or suburceolate, 8-10 mm long, 7-8 mm wide. Fruits sessile or shortly pedicellate, globular to urceolate, 2-3 cm long, 1.7-2.5 cm wide. Seeds winged at one end, yellow-brown. Scraggy. Bloodwood. Fig. 41A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus zygophylla,NA,NA,tree,NA,20,60,20,20,2500,30,110,30,35,2500,25,85,25,27.5,"Tree or shrub to 2.5 m, rarely to 8 m. Bark tessellated throughout, grey-brown. Juvenile leaves not seen. Leaves on mature trees opposite, sessile, oblong to lanceolate, acuminate, usually cordate, thick; lamina 6-11 cm long, 2-3 cm wide, grey-green, concolorous or slightly discolorous; lateral veins fine, at 50°–70°; intramarginal vein confluent with margin. Umbels 3-7-flowered; peduncle thick, 7-15 mm long; pedicels absent or up to 3 mm long. Buds pyriform; operculum hemispherical-conical, apiculate, 2-3 mm long, 6-8 mm wide; hypanthium truncate-pyriform, 7-9 mm long, 7-8 mm wide. Fruits sessile to shortly pedicellate, ovoid, globular or urceolate, 20-35 mm long, 20-30 mm wide. Seeds winged at one end, yellow-brown. Broome. Bloodwood. Fig. 41C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lamprocalyx,NA,NA,tree,NA,50,120,NA,NA,6000,80,250,NA,NA,6000,65,185,NA,NA,"Tree or shrub to 6 m, usually crooked, spreading. Bark tessellated throughout, grey to grey-brown. Juvenile leaves shortly petiolate, broadly lanceolate, hairy on margin. Leaves on mature trees opposite, sessile, broadly lanceolate to oblong-lanceolate, the pairs connate, thick; lamina 12-25 cm long, 5-8 cm wide, grey-green, concolorous; lateral veins prominent, at 70°–85°; intramarginal vein confluent or almost so with margin. Umbels 7-11-flowered; peduncle thick or slightly flattened, 12-25 mm long; pedicels thick, up to 3 mm long. Buds obovoid or pyriform; operculum depressed hemispherical, apiculate, 4-5 mm long, 5-6 mm wide; hypanthium truncate-pyriform, 8-12 mm long, 8-10 mm wide. Fruit shortly pedicellate or sessile, truncate-ovoid or urceolate, 30-40 mm long, 20-30 mm wide. Seeds winged at one end, yellow-brown. Twin-leaved. Bloodwood. Fig. 41E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ptychocarpa,NA,NA,tree,NA,50,200,25,35,20000,130,300,35,45,20000,90,250,30,40,"Tree to 20 m. Bark ±tessellated or fibrous throughout, grey-brown. Juvenile leaves petiolate, elliptiapprox. Adult leaves mostly alternate, narrowly ovate to lanceolate, acute or acuminate, thick; lamina 20-30 cm long, 5-13 cm wide, green or grey-green, strongly discolorous; lateral veins many, prominent, at 65°–80°; intramarginal vein confluent with margin; petiole 25-40 mm long. Umbels 3-7-flowered; peduncle thick, terete, up to 30 mm long; pedicels thick, 10-30 mm long. Buds obovoid or clavate, coarsely ribbed; operculum depressed hemispherical or conical, 6-10 mm long, 10-15 mm wide; hypanthium truncate-obovoid, 15-20 mm long, 10-18 mm wide. Fruits truncate-ovoid or cylindrical, strongly ribbed, 3.5-4.5 cm long, 2.5-3.5 cm wide. Seeds winged at one end, yellow-brown. Spring. Bloodwood. Cover, Fig. 41G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus collina,NA,NA,tree,NA,10,120,20,30,18000,25,180,25,40,18000,17.5,150,22.5,35,"Tree to 18 m with a short trunk and widespreading branches. Bark thin, tessellated, grey, yellow-brown or orange on trunk and often on base of larger branches, smooth and white above. Juvenile leaves petiolate, ovate-lanceolate, scabrous. Adult leaves usually subopposite, lanceolate, acuminate, thick; lamina 12-18 cm long, 1-2.5 cm wide, silvery when young, concolorous; lateral veins numerous, faint, at 70°–75°; intramarginal vein confluent with margin; petiole 10-25 mm long. Umbels 3-7-flowered; peduncle thick, terete, 8-12 mm long; pedicels thick, 12-17 mm long. Buds ovoid; operculum hemispherical, 6-8 mm long, 10-14 mm wide; hypanthium hemispherical or truncate-ovoid, 10-12 mm long and wide. Fruits long-pedicellate, ovoid, 3-4 cm long, 2-2.5 cm wide. Seeds winged at one end, yellow-brown. Silver-leaved. Bloodwood. Fig. 42A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus bleeseri,NA,NA,tree,NA,10,80,10,15,15000,25,150,15,22,15000,17.5,115,12.5,18.5,"Tree to 15 m. Bark mainly smooth, white or light grey, with ±persistent, flaky, red-brown bark at base or over whole trunk. Juvenile leaves shortly petiolate, ovate, setose. Adult leaves alternate or sometimes subopposite, lanceolate, acuminate, sometimes falcate, thick; lamina 8-15 cm long, 1-2.5 cm wide, shining, green above, discolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 10-20 mm long. Umbels 7-flowered; peduncle terete, 15-30 mm long; pedicels terete, 10-15 mm long. Buds ovoid to obovoid; operculum usually conical, rarely hemispherical, 3-5 mm long, 5-7 mm wide; hypanthium truncate-ovoid, 5-7 mm long, 6-7 mm wide. Fruits long-pedicellate, oblong-ovoid or suburceolate, 15-22 mm long, 10-15 mm wide. Seeds with a long terminal wing, yellow-brown. Smooth-stemmed. Bloodwood. Fig. 42C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pyrophora,NA,NA,tree,NA,10,80,20,15,12000,26,140,25,25,12000,18,110,22.5,20,"Tree or shrub to 12 m. Bark tessellated throughout, orange-grey, grey-red, or red-brown. Juvenile leaves not seen. Adult leaves subopposite or alternate, lanceolate, falcate, acute or acuminate, thick; lamina 8-14 cm long, 1-2.6 cm wide, grey-green, concolorous; lateral veins faint, at 60°–70°; intramarginal vein confluent with margin; petiole 10-25 mm long. Umbels 3-7-flowered; peduncle 8-12 mm long; pedicels 4-8 mm long. Buds pyriform; operculum hemispherical-conical, 2-4 mm long, 3-5 mm wide; hypanthium truncate-pyriform or suburceolate, 2-4 mm long, 3-5 mm wide. Fruits globose or ovoid, rarely with a short neck, 15-25 mm long, 20-25 mm wide, sometimes faintly ribbed. Seeds with a long terminal wing, yellow-brown. Fig. 42E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pontis,NA,NA,tree,NA,10,90,15,14,7000,14,135,22,21,7000,12,112.5,18.5,17.5,"Tree to 7 m. Bark flaky, red-brown to grey-brown on trunk, sometimes on larger branches, then smooth, grey-white above. Juvenile leaves not seen. Adult leaves lanceolate, acuminate; lamina 9-13.5 cm long, 1-1.4 cm wide, grey-green to yellow-green; concolorous; lateral veins faint, at 50°–60°; intramarginal vein confluent with margin; petiole terete, 13-25 mm long. Umbels mostly 7-flowered; peduncle terete, 6-12 mm long; pedicels 3-5 mm long. Mature buds not seen. Fruits globular, 14-21 mm long, 15-22 mm wide; disc broad; valves 4. Seeds not seen. Fig. 42G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus porrecta,NA,NA,tree,NA,30,150,15,20,5000,50,200,23,25,5000,40,175,19,22.5,"Tree to 5 m, rarely to 8 m. Bark tessellated throughout, grey. Juvenile leaves not seen. Adult leaves alternate, lanceolate to broadly lanceolate, acute, acuminate or apiculate, thick; lamina 15-20 cm long, 3-5 cm wide, grey-green, concolorous; lateral veins faint, at 50°–60°; intramarginal vein ±confluent with margin; petiole terete, 18-25 mm long. Umbels 3-7-flowered; peduncle terete, 17-35 mm long; pedicels 10-20 mm long. Buds ovoid or subglobular, rugose; operculum conical, 4-5 mm long, 8-10 mm wide; hypanthium hemispherical, 6-8 mm long, 8-10 mm wide. Fruits long-pedicellate, ovoid, subglobular or suburceolate, 20-25 mm long, 15-23 mm wide. Seeds with a terminal wing, yellow-brown. Fig. 42 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus foelscheana,NA,NA,tree,NA,30,100,16,20,10000,100,160,20,26,10000,65,130,18,23,"Tree to 10 m, usually somewhat straggly. Bark smooth, white, with short stocking of red-brown scaly bark; on smaller trees red-brown scaly bark on most of trunk, sometimes throughout. Juvenile leaves soon alternate, shortly petiolate, ovate, sparsely setose at least on midrib below. Intermediate leaves broadly ovate to ovate-oblong, to 30 cm long and 20 cm wide. Adult leaves alternate, ovate or lanceolate-ovate to suborbicular, acute, thick; lamina 10-16 cm long, 3-10 cm wide, dull, green, concolorous; lateral veins prominent, at 60°–75°; intramarginal vein confluent with margin; petiole 20-30 mm long. Umbels 3-7-flowered; peduncle 10-30 mm long; pedicels 5-13 mm long. Buds clavate, pyriform or obovoid; operculum depressed hemispherical-conical, 2-3 mm long, 6-7 mm wide; hypanthium hemispherical or truncate-pyriform, 7-10 mm long, 6-8 mm wide. Fruits urceolate or truncate-ovoid, 20-26 mm long, 16-20 mm wide. Seeds winged, yellow-brown. Smooth-barked. Bloodwood. Fig. 42K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus latifolia,NA,NA,tree,NA,60,80,8,7,15000,90,130,14,13,15000,75,105,11,10,"Tree to 15 m, semi-deciduous. Bark flaky, red-brown to light brown, becoming ash-grey, sometimes throughout, or upper branches smooth and white. Juvenile leaves shortly petiolate, orbicular-ovate to elliptic-ovate, apiculate, setose at least on midrib below. Adult leaves alternate or subopposite, broadly ovate to orbicular-ovate, obtuse, rounded at base, thick; lamina 8-13 cm long, 6-9 cm wide, ash-grey, concolorous; lateral veins faint, at 60°–75°; intramarginal vein confluent with margin; petiole terete, 18-40 mm long. Umbels 3-7-flowered; peduncle 10-20 mm long; pedicels 5-10 mm long. Buds ovoid to subglobular; operculum depressed hemispherical or hemispherical-conical, 1-2 mm long, 3-4 mm wide; hypanthium hemispherical, 3-4 mm long and wide. Fruits ovoid, globular or urceolate, 7-13 mm long, 8-14 mm wide. Seeds winged, yellow-brown. Round-leaved. Bloodwood. Fig. 43A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus dichromophloia,NA,NA,tree,NA,15,100,8,10,15000,40,200,12,15,15000,27.5,150,10,12.5,"Tree to 15 m, sometimes shrubby. Bark flaky, light red-brown on part or whole of trunk and often on larger branches, smooth and white above and sometimes also on much of trunk. Juvenile leaves shortly petiolate, elliptic or ovate, setose or scabrous on both sides, pubescent on underside. Adult leaves alternate, narrowly lanceolate to lanceolate, acuminate, cuneate, thick; lamina 10-20 cm long, 1.5-4 cm wide, dull, grey-green, slightly discolorous; lateral veins faint, at 60°–70°; intramarginal vein usually confluent with margin, sometimes 1-2 mm from margin; petiole terete or slightly flattened, 10-25 mm long. Umbels 3-7-flowered; peduncle terete, 5-17 mm long; pedicels 5-10 mm long. Buds ovoid or subglobular; operculum hemispherical-conical, 2-3 mm long, 4-5 mm wide; hypanthium hemispherical or truncate-pyriform, 5-6 mm long and wide. Fruits ovoid, subglobular or urceolate, 10-15 mm long, 8-12 mm wide. Seeds winged, yellow-brown. Variable-barked. Bloodwood, Gum-topped. Bloodwood. Fig. 43C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus ollaris,NA,NA,tree,NA,12,110,11,12,12000,20,155,15,15,12000,16,132.5,13,13.5,"Tree to 12 m. Bark smooth, white or cream-yellow throughout, or often with rough, tessellated bark on lower trunk or at base of trunk. Juvenile leaves petiolate, lanceolate, glandular-bristly. Adult leaves alternate, lanceolate, often falcate, acuminate; lamina 11-15.5 cm long, 1.2-2 cm wide, green, concolorous; lateral veins faint, at 45°–60°; intramarginal vein confluent with margin; petiole terete, 12-20 mm long. Umbels 7-flowered; peduncle terete, 10-15 mm long; pedicels 4-8 mm long. Mature buds not seen. Fruits urceolate, 12-15 mm long, 11-15 mm wide. Seeds not seen. Fig. 43E","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus arnhemensis,NA,NA,tree,NA,7,65,8,8,10000,12,90,10,12,10000,9.5,77.5,9,10,"Tree to 10 m. Bark rough, tessellated, red-brown on trunk, then smooth, white or cream above. Juvenile leaves petiolate, linear to linear-lanceolate, glandular-bristly. Adult leaves alternate, lanceolate, often falcate, acuminate; lamina 6.5-9 cm long, 0.7-1.2 cm wide, green, concolorous; lateral veins faint, at approx 60°; intramarginal vein confluent with margin; petiole terete, 8-15 mm long. Umbels 7-flowered; peduncle terete, 8-13 mm long; pedicels 3-6 mm long. Buds obovoid, but not seen mature; operculum conical; hyanthium obovoid. Fruits urceolate, 8-12 mm long, 8-10 mm wide. Seeds winged. Fig. 43F–G","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
